,LVR1,LVR2,LVR3,LVR4,LVR5,LVR6,LVR7,VB,ER1,ER2,ER3,ER4,ER5,ER6,ER7,SStoutR1,SStoutR2,SStoutR3,SStoutR4,%top,fold,index
0,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,348.0319373,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,22.51198396,21.5742147,0.0,0.0,6.0,2,0
1,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,22.51198396,19.43509996,0.0,0.0,2.333333333,6,1
2,53.5297262,0.0,0.0,0.0,21.5742147,0.0,76.07416785,134.6239983,-0.14,0.0,0.0,0.0,-0.17,0.0,-0.27,22.51198396,19.43509996,0.0,0.0,79.0,9,2
6,70.82571142,0.0,0.0,76.88830503,21.5742147,0.0,76.07416785,134.6239983,-0.16,0.0,0.0,-0.01,-0.17,0.0,-0.27,22.51198396,19.43509996,0.0,0.0,96.5,3,6
7,94.18429025,0.0,0.0,76.88830503,21.5742147,0.0,76.07416785,134.6239983,-0.09,0.0,0.0,-0.01,-0.17,0.0,-0.27,22.51198396,19.43509996,0.0,0.0,94.0,9,7
8,64.9564121,0.0,0.0,21.5742147,0.0,0.0,84.57992612,151.9199836,0.0,0.0,0.0,-0.17,0.0,0.0,-0.15,22.51198396,19.43509996,0.0,0.0,1.25,3,8
9,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,22.51198396,0.0,28.08309257,0.0,2.25,0,9
10,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,22.51198396,18.72206172,0.0,0.0,4.75,6,10
12,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,26.42553764,0.0,26.42553764,0.0,5.0,7,12
13,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,18.25910483,38.87019992,0.0,0.0,5.5,7,13
14,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,348.0319373,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,22.10154133,0.0,18.72206172,0.0,5.0,9,14
15,94.18429025,0.0,0.0,94.18429025,0.0,0.0,20.25598522,134.6239983,-0.09,0.0,0.0,-0.09,0.0,0.0,0.0,18.67357617,13.86399135,0.0,0.0,15.0,0,15
17,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,134.6239983,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,22.51198396,0.0,28.08309257,0.0,3.5,1,17
20,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,134.6239983,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.275,3,20
21,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,151.9199836,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.833333333,9,21
23,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,160.7102105,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,2.166666667,5,23
24,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,160.5647539,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.75,7,24
25,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,149.8350664,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.25,7,25
27,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,207.2340739,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.0,0,27
28,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,175.3697368,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.0,6,28
29,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,140.6915573,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,0.5,1,29
30,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,146.7591162,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.5,6,30
31,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,175.2785624,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,26.42553764,0.0,1.75,0,31
32,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,134.6239983,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,26.42553764,0.0,0.0,1.0,7,32
33,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,134.6239983,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,26.42553764,0.0,23.95337594,0.0,2.5,9,33
34,76.88830503,21.5742147,0.0,76.88830503,0.0,0.0,54.84795567,134.6239983,-0.01,-0.17,0.0,-0.01,0.0,0.0,-0.17,15.10949251,0.0,18.83685805,0.0,25.0,5,34
35,94.18429025,21.5742147,0.0,94.18429025,0.0,0.0,54.84795567,134.6239983,-0.03,-0.17,0.0,-0.03,0.0,0.0,-0.17,22.51198396,0.0,28.08309257,0.0,11.5,5,35
36,94.18429025,21.5742147,0.0,94.18429025,0.0,0.0,54.84795567,134.6239983,-0.03,-0.17,0.0,-0.03,0.0,0.0,-0.17,15.10949251,0.0,18.83685805,0.0,23.0,5,36
37,146.0722459,21.5742147,0.0,146.0722459,0.0,0.0,54.84795567,134.6239983,-0.03,-0.17,0.0,-0.03,0.0,0.0,-0.17,22.51198396,0.0,28.08309257,0.0,11.0,0,37
38,149.4983806,21.5742147,0.0,149.4983806,0.0,0.0,54.84795567,134.6239983,0.0,-0.17,0.0,0.0,0.0,0.0,-0.17,22.51198396,0.0,28.08309257,0.0,8.5,1,38
39,149.4983806,21.5742147,0.0,149.4983806,0.0,0.0,54.84795567,134.6239983,0.0,-0.17,0.0,0.0,0.0,0.0,-0.17,15.10949251,0.0,18.83685805,0.0,22.5,5,39
40,102.8290606,21.5742147,0.0,102.8290606,0.0,0.0,54.84795567,151.9199836,0.26,-0.17,0.0,0.26,0.0,0.0,-0.17,22.51198396,19.43509996,0.0,0.0,3.166666667,9,40
41,212.9041965,0.0,0.0,21.5742147,0.0,0.0,84.57992612,239.1895854,0.44,0.0,0.0,-0.17,0.0,0.0,-0.15,22.51198396,19.43509996,0.0,0.0,2.0,3,41
42,102.8290606,21.5742147,0.0,102.8290606,0.0,0.0,54.84795567,160.7102105,0.26,-0.17,0.0,0.26,0.0,0.0,-0.17,22.51198396,19.43509996,0.0,0.0,4.0,6,42
43,36.23374097,0.0,0.0,73.46217037,21.5742147,0.0,76.07416785,140.6915573,0.07,0.0,0.0,-0.12,-0.17,0.0,-0.27,22.51198396,19.43509996,0.0,0.0,98.5,7,43
44,64.9564121,0.0,0.0,21.5742147,0.0,0.0,84.57992612,149.8350664,0.0,0.0,0.0,-0.17,0.0,0.0,-0.15,22.51198396,19.43509996,0.0,0.0,2.0,7,44
45,0.0,0.0,0.0,0.0,21.5742147,111.4802755,76.07416785,160.5647539,0.0,0.0,0.0,0.0,-0.17,0.0,-0.27,22.51198396,19.43509996,0.0,0.0,97.5,0,45
46,76.88830503,0.0,0.0,76.88830503,0.0,0.0,32.69197045,134.6239983,-0.01,0.0,0.0,-0.01,0.0,0.0,0.0,22.51198396,19.43509996,0.0,0.0,1.75,1,46
47,94.18429025,0.0,0.0,94.18429025,0.0,0.0,32.69197045,134.6239983,-0.03,0.0,0.0,-0.03,0.0,0.0,0.0,22.51198396,19.43509996,0.0,0.0,8.5,9,47
49,102.9745172,0.0,0.0,102.9745172,0.0,0.0,32.69197045,134.6239983,-0.08,0.0,0.0,-0.08,0.0,0.0,0.0,22.51198396,19.43509996,0.0,0.0,2.5,7,49
